Discord Username,Player OP.GG,Primary Role,Secondary Role,"Do you play your secondary role at the same rank / skill level as your primary role. If not, please explain why?",What are your 3 Primary Champs,Peak Rank,Current Rank,Provide insight into your playstyle. How do you like to play your role? What do you look for in your captain and teammates?
ktian,https://www.op.gg/summoners/na/6%20foot%201%20%20Jacked-Gojo,Jungle,Top,slightly worse,yk alr,Diamond 1,Diamond 4,you guys know alr hehe
Ohm (@ohmwithouttheh),https://www.op.gg/multisearch/na?summoners=Cursor%23na1%2CNamaste%23na1,Jungle,Top,slightly worse,"I only have experience playing ranked with Evelynn jungle but am competent on other junglers such as Kayn and Ekko. I don't play either nearly as well as Eve though.

I play Nasus, Trynd, Kayle top and Ryze, Vlad, and Naafiri mid.",Diamond 1,Diamond 3,"I play jungle somewhat aggressively considering my champion pool. Playing junglers that are weak early does not discourage me from early ganks or invades, I'm down to mix it up sometimes.

I would like a captain that is comfortable with having 0 effort be put in by me. I will not show up to scrims, practices, and will not coordinate shit until I hop on call for game day. I'm a bit preoccupied with life at the moment but could spare time on the weekends to run a couple games. If you're a captain and would like to draft me, I'd recommend drafting another jungle player to sub in for me when I don't get the time to play. You could also have me as the sub for jungle/top/mid, that's fine too."
iamrowx,https://www.op.gg/summoners/na/Row-RowX,Support,Jungle,slightly worse,rell milio velkoz (pantheon too),Plat 1,Gold 4,"I like to adapt around my team's playstyle, I can play aggro lane or passive or just roam around"
RobbySmokez,https://www.op.gg/summoners/na/RobbySmokez-NA1,Jungle,Top,yes,"Lee Sin, Gnar, Gwen",Emerald 4,Silver 3,My playstyle is best when I am on a team that can take advantage of my ability to play what we need for the comp. Need tank and cc? Need consistent dmg? Need shielding and healing? I got something for any role depending on what the team needs. If jungle though I am aggressive early so a team that can cover for that would be ideal
bluecheese,https://www.op.gg/summoners/na/bluecheesesays-NA1,ADC,Top|Mid,no,ezreal jhin zeri,Silver 3,Bronze 2,
NICNOCISMAEL,https://www.op.gg/summoners/na/Shrehegeddy-CHAOS,Jungle,Top,no,"Warwick, Ammumu, Mordekaiser",Plat 3,Plat 4," I'd focus on relentless aggression and opportunistic hunting. I'd be a data-driven predator, constantly scanning for vulnerabilities and exploiting them with calculated ferocity. My ""role"" would be to disrupt, isolate, and eliminate key threats, prioritizing efficiency and maximizing impact. I'd look for a captain who provides clear, decisive targets and trusts my ability to execute, while valuing teammates who create opportunities for my aggression, like crowd control or damage follow-up, and who can capitalize on the advantages I generate by forcing enemies into unfavorable positions. Essentially, I'd want a team that understands how to leverage my predatory instincts and relentless pursuit for maximum strategic gain."
Link85120,https://www.op.gg/summoners/na/Link85120-NA1,Mid,Top,yes,"Azir, Viktor, Ahri",Plat 4,Silver 1,
benandrson,https://www.op.gg/summoners/na/Petite%20Ben-Ben,Support,Mid,yes,"Naut, Irelia, Thresh",Gold 1,Silver 1,I play aggressive and like aggressive champs
graffuko,https://www.op.gg/multisearch/na?summoners=QUEEN+OF+RATS%23graff%2Cxx+graffuko+x%23uwu,Support,Jungle,yes,"Nami, Gragas, Nautilus",Plat 3,Gold 3,"in lane, i like to play for win condition first, whether that is aggressive, passive, or roaming depends on the matchup. the rest of the game i'll play with jng and play for objectives and vision. (i will also roam for early objectives )"
mi809/Eli,https://www.op.gg/summoners/na/mi809-3559,Jungle,Mid,no,"Ekko, Skarner, Ammumu",Silver 2,Bronze 2,"I play for my team and I like to be efficient with my clear and gain lots of gold early to scale as best I can to be strong in the mid to late game. I like to farm camps and get easy gold. I look for some direction for captains, I really like dominant and vocal support players because they usually have the capability to coordinate ganks and take objectives with me. "
ABigBoi,https://www.op.gg/summoners/na/PBRelishSandwich-NA1,Top,Jungle,no,"Garen, Urgot, Mordekaiser",Emerald 4,Plat 2,"Kind of aggressive, just looking for cool chill teammates"
Tiger58,https://www.op.gg/summoners/na/Tiger58-SDC,Support,Mid,no,"Lux, Braum, Janna",Emerald 4,Gold 3,"I like to be aggressive in the early game either by dominating lane or roaming, and then use the advantages gained to get the better end of cross-map trades

I would prefer teammates who communicate clearly when they are strong and what they need from the team to fulfill their wincons."
Rodage,https://www.op.gg/multisearch/na?summoners=rodage%23na1%2Cilyia%23na1,Support,ADC,yes,"Rakan, Lulu, Seraphine",Diamond 3,Emerald 4,"I'm someone who likes to play around mid/jungle if I can have a stronger independent ADC. In lane I tend to play more passively and wait for mid game to start making plays. I enjoy playing enchaters more than engage supports but I will admit I'm significantly better at champions like Rell, Rakan, Nautilus. I'm always down to play whatever my team would like me to play and feel my champ pool if fairly large. I am unable to play saturday nights as I work until 2am but am available in the mornings and on sundays.  "
bluewu.,https://www.op.gg/summoners/na/Blue-UU70,Mid,,no,Syndra Hwei Nunu,Masters,Emerald 2,if slaveknight was better at the game he would be me
beifengpageenjoyer,https://www.op.gg/summoners/na/SigmaGaming1v9-Bossm,Jungle,Mid,slightly worse,"Jgl(Kayn,Viego,Xin Zhao), Mid(Akshan,Hwei,Zed)",Emerald 3,Emerald 4,"I play a low risk playstyle of just limiting coinflips. Im good at playing around my win cons. I look for enemy jungle location callouts, I try to play around win cons and punish enemy jungler for inting tempo"
zndl,https://www.op.gg/summoners/na/Zundel-mleb,Jungle,Top,no,"Lillia, Gwen, Sejuani",Emerald 3,Emerald 4,"Im a tempo heavy jungler. I like farming and being strong towards the midgame. I can play engage junglers, but my strongest champs are ones with high clear speed and high teamfight capabilities."
ferestric,https://www.op.gg/summoners/na/Ferestric-MAW,ADC,Support,no,"Kog'maw, Ashe, Jinx",Emerald 2,Emerald 4,"I can be very passive if team wants me to, but if they don't give me any proper expectation I'll just play however I like (AKA I might randomly try to trade or all in because I want to punish enemy from walking up to wave, or just because I lose patience).
I'm not the most aggressive player, but I look to hard trade when the enemy overstep to poke.
I do make sure to ask everyone what our plan is, especially out of lane and before team fights. If I ask my jgler and they don't know where enemy jgler is I'm rarely ever gonna walk up aggressively when rotated mid."
mrlizwiz,https://www.op.gg/summoners/na/BronzeCena-Blind,Top,Mid,slightly worse,"Camille, Ambessa, K'sante (toplane), Sylas, Syndra, Talon (midlane)",Emerald 3,Emerald 3,I look for high aggression to control my lane and spread my lead to other lanes. I look for good communication and shotcalling in my captain and teams
MadLad,https://www.op.gg/summoners/na/AbsoluteMadLad-0304,Jungle,ADC,yes,"depends on the role tbh, but for what i consider my main role, jg, kayn, khazix, rengar",Plat 3,Plat 4,"I don't really know how to answer this, i tend to play more so for objectives than ganks in jg, i let my support control how the lane goes as adc, pretty aggro supp player, mid lane depends on the champ. As far as captain/teammates go, someone who isnt annoying, someone who wont give up  just bc we are behind, someone who isnt an asshole just for the sake of being an asshole"
bwaydenab,https://www.op.gg/multisearch/na?summoners=just+a+failure%23pug%2Ceimi+fukada%233566,Mid,ADC,slightly worse,"Katarina, Ahri, Galio",Plat 3,Gold 4,"playing for team fights / objectives, diving lanes, roaming for other lanes"
apotatoguy,https://www.op.gg/summoners/na/APotatoBoy-NA1,ADC,Top,yes,"Caitlyn, Jinx, and Sivir.",Gold 1,Silver 2,"I pick what can win me the game rather than what makes me look good. I do not get tilted easily. I look for a captain that can be a good shot caller, looking for plays that I would not have seen."
OgFatBoi,https://www.op.gg/summoners/na/OgFatBoi-Fatty,Support,ADC|MID,yes,"Thresh, Braum, Pyke",Diamond 3,Emerald 1,I am a very heavy aggressive player and I look to play around the map. I have a loud voice in the game to help steer it in the right direction and good game sense to know what to do. I can also take a more supportive role as well. I look for players who are committed to actually playing and improving ad a team. With a captain that’ll help provide knowledge and schedules
Iateyosushi,https://www.op.gg/summoners/na/hackzorzzzz-NA1,Jungle,Top,yes,Rengar viego elise,Masters,iron 4,i either run the game down or run the game over
The Weary Traveller,https://www.op.gg/multisearch/na?summoners=LampsxAatrox%23LAMP%2C%2CDaLunarBlade%23Lamps,Jungle,Top,yes,"Aatrox, Pantheon, Kayn(red form)",Silver 3,Silver 3,"I like being aggressive in lane, looking for shove, proxy, and dive opportunities. I also like invading/taking jungle camps and denying farm from enemy team. I like absorbing as much pressure as possible during a match.

I can play back and safe when needed, however I prefer being on the frontline and peeling for the carries. If I die, but my team gets objective/win the teamfight, I view that As a worthy trade."
Elvynya,https://www.op.gg/multisearch/na?summoners=Elvynya%23Lucy%2CLucy+Lulu%23NA1,Support,ADC,slightly worse,"Lulu, Soraka, Rakan",Gold 2,Silver 2,Been playing more as a support who tries to make more plays around the map. I want to make things happen if possible. I would like to be a bit more aggressive in lane depending on matchup/skill. Playing enchanters is what I am best at but I love playing things like Lux or Zoe support when able.
ThyTec,https://www.op.gg/multisearch/na?summoners=Izanagi%23Kin,Mid,ADC,yes,"Zed, Yone, Aphelios ",Plat 3,Gold 1,"I play my role as a bit more of a roam mid. I would like to roam with my jungler more often as I realized it helped me win more games than if I don’t help with their roams and invades. For what I look for a captain, I want to look for someone who doesn’t dwell on mistakes and simply moves on to prevent the negative attitude from affecting the team. I understand that they may need to point out a mistake but I hope to avoid them holding it above player’s head. Same for my teamates."
Feeshstix,https://www.op.gg/summoners/na/Feeshstix-fish,ADC,Support,slightly worse,"Aphelios, Ezreal, Kalista",Gold 4,Gold 4,"Still struggling w/ macro so I’m definitely a lot more team fight oriented, DPS and gold income has more value to me that KDA. For a captain just good communication, when we r winning AND losing games means a lot."
spicylemonsoda,https://www.op.gg/summoners/na/Aksen-NA1,Mid,Jungle,yes,"ahri, chogath, galio",Plat 2,Plat 4,"lane facilitator, shotcalling with good read on meta "
ookamigin,https://www.op.gg/summoners/na/ookamigrin-NA1,Support,Jungle,no,"neeko, senna, rakan",Iron 1,Iron 1,"neeko is kamikaze engage, i die for a won team fight. i've never played with a set team before so i don't know how it will go. i try to help wherever i can in soloq"
Areyyo,https://www.op.gg/summoners/na/Areyyo-NA1,ADC,Top,yes,"Kai'sa, Caitlyn, Xayah",Gold 2,Silver 3,"I like to play an aggressive botlane that snowballs but I'm fine to play a scaling hypercarry as well. Overall, Im a pretty flexible player and not the worst mechanically ( I hope). I hope to look for some teammates who can play sidelanes and macro calls well. I'd like my captain to be a confident and capable shot-caller for the team."
CykoMelody,https://www.op.gg/summoners/na/CykoMelody-009,ADC,Support,no,"MF, Ashe, Jhin",Gold 2,Silver 4,"Safe early, aggressive late,clear comms."
Tristan2471,https://www.op.gg/summoners/na/teedye-NA1,Top,ADC,yes,"Irelia, Renekton, Ornn",Silver 1,Bronze 4,Obviously Irelia is my most comfortable champ so that is more of an aggressive playstyle. On other champs i’m more comfortable being weak-sided and soaking pressure.
Saianide.,https://www.op.gg/summoners/na/saianide%20twitter-222,Top,Mid,yes,"Camille, ornn/shen, olaf",Plat 4,Gold 1,"Depends on first or last pick and team comp will play tank if needed, lane bully, and scale damage"
tenor_,https://www.op.gg/summoners/na/Tena-1976,ADC,Mid,yes,"Ashe, cait, Kai sa",Emerald 4,Gold 3,"Depends on the lane match up for play style but I prefer to be aggressive.

As for a captain and teammates I just want to be paired with people who are as intellectual inept as I am. "
mattlee0121,https://www.op.gg/summoners/na/bcuzurworthit-bcuz,ADC,Mid,yes,"Ezreal, MF, Kaisa",Masters,Masters,Just a chill guy
Encry,https://www.op.gg/summoners/na/Encry-ssj3,Jungle,Top,yes,"Warwick, Trundle, Warwick",Plat 3,Gold 3,Carry
me.pp,https://www.op.gg/summoners/na/PingSpam-NA1,ADC,Support,yes,"Jinx, Caitlyn, Varus",Masters,Diamond 1,Macro but I expect my teammates to know how to pilot their champs
ShotsforTots,https://www.op.gg/summoners/na/it%20is%20what%20it%20is-na3,ADC,Support,yes,"Caitlyn, Ziggs, Jinx",Silver 1,,I play for mid-late game usually with team-fight oriented ADC's. ABove all i look for people who enjoy playing the game competitively while remaining non-toxic and non-hostile.
SirKoochi/Infernal Chains,https://www.op.gg/summoners/na/Infernal%20Chains-NA1,Top,ADC,slightly worse,"Aatrox, Ornn, Gwen, Jinx, Jhin, Ezreal",Emerald 4,Gold 3,I typically play very selfish but I have good map awareness to make skirmishes
xnanashi   (Tomori is display name),https://www.op.gg/multisearch/na?summoners=Tomori%23Gwen%2CFLYING+IS+HARD%23SCALE%2CTomori+0%23Nao,ADC,Top,yes,"Kai'Sa, Quinn, Gwen",Emerald 1,Plat 4,"I am more into a passive laning phase, on Kai'sa I usually wait until I get my Q evolve to actually start being aggressive (around lvl 8). On Quinn I usually go ADC and have a aggressive lvl 1-6, then start roaming around the map after I hard push the wave. Other ADCs I can also perform with but it depends on what my support chooses to either be aggressive or passive in lane. For Top, I almost always choose a scaling champ like Gwen, Chogath, Aurora, Garen, Quinn and wait for my powerspikes to fight the enemy, also always rotate to grubs when my jungler wants to do them. What I look for in my teammates is definitely communication and accountability, especially from my support and jgl. I want to know what they are thinking of doing before they do it so I can quickly give input instead of them rushing in when I am not ready or do not see a good fight resulting from their action. I also look for a support that knows their champs' limits and know when to choose what (picking an enchanter when there is an enemy caitlyn or an engage when there is an enemy yuumi).

side note: I peaked emerald 1 on the LAN server but 4 on NA, but my match history doesn't show up for the LAN server idk why. ill put 1 as peak but realistically im at 4 since NA is a harder region personally. "
milkman,https://www.op.gg/summoners/na/Luigi1707-NA1,Jungle,Support,yes,"Fiddle, Sejuani, Milio",Bronze 1,Bronze 2,I focus on objective timers and on my pathing/roams. find the biggest inta on the enemy team and punish them. I'm not a fan of hyper aggressive coin flip players.
honeynutwoomy,https://www.op.gg/summoners/na/honeynut-glub,Mid,Top,no,"Veigar, Neeko, Vex",Plat 4,Plat 4,"I like to help the jungler secure camps, I am flexible with my picks - if we need scaling, I can play Veigar/Vex and if we need CC/early pressure I can play Neeko."
Fluffytops,https://www.op.gg/summoners/na/Fluffytops-FLUFF,Support,Mid,yes,"Swain, Lux, Lulu",Gold 4,Silver 2,"I tend to be aggressive, and team oriented.  If there's a fight in the jungle, I'm probably walking up to see if I can help you out.  I look for high communication, open-mindedness, and good vibes.  It's a win if it was fun."
JeremyLG,https://www.op.gg/summoners/na/JeremyLG-NA1,Support,Top,slightly worse,"Nami, LuLU,  Rakan",Plat 4,Silver 1," Team player, i like a team that doesnt have to be good but focus communication, and no toxic. :)"
_Casey,https://www.op.gg/summoners/na/Caseifer-1234,Top,Support,no,tryndamere/garen/olaf,Diamond 4,Diamond 4,"i am a very flexible top laner, who can play tanks, sidelane, or carry picks."
~Zeon~,https://www.op.gg/summoners/na/Zeon-5336,Mid,Support,no,"Hwei, Brand, Rell",Gold 4,Iron 4,"communication, actual direction and goal setting. "
dirtycupbandit,https://www.op.gg/multisearch/na?summoners=Quintonius%23him%2CICatchToads%23NA1%2Cbang+on+rock%23him%2CBig+Ol+Bleezy%23yuh%2CBush+Wookie%23HIGH,Top,Mid,slightly worse,"Tahm Kench, Ksante, Sylas",Plat 4,Bronze 4,aggressive laner who can cs decently sometimes and looks to fight a lot and stomp my laner bc thats what gives me dopamine XD. As long as your confident in what you say and it makes sense im all for being a team player and sacrificing for the good of the 5. grew up playing sports so i fit in well in team enviornments. Would really like to be drafted with one of my buddies who wants to sign up for this too
k6vin,https://www.op.gg/multisearch/na?summoners=worm%23987%2Crat%23015%2CIlIlIIlllIIIlI%23111%2Cswan+dive%23000%2C%2C,Support,Mid,no,"like all supp, hwei, azir",Gold 3,Gold 4,i can play aggro hook champs or enchanters
iunderstanditnow,https://www.op.gg/multisearch/na?summoners=SettAndDivers%23Back%2CTheChosenOne%23LBRON,Top,Jungle,"I play it at around  a tier below my main role, simply because I haven't practiced it in a bit and my pool is more limited","Sett Diana, and then Aatrox/Darius are about equal. ",Plat 3,Gold 1,"I try to soak pressure top, split push and create leads on early game lane bullies to make it easier for better scaling champs on my team. "
Sloth,https://www.op.gg/summoners/na/GRAB%20THE%20LANTERN-1075,Support,Top,yes,"Thresh,Braum,Xerath",Gold 1,Silver 2,"Really Flexible, and I can play with anyone really."
(GT)angelofpaper2,https://www.op.gg/multisearch/na?summoners=AngelOfPaper2%2CAngelofpaper3,Mid,Top,Yes,Naafiri/Akali/Galio,Silver 2,Silver 4,I am generally an assassin player however I’m quite adaptable and I’m able to fill in a spot when the team really needs it. I look for a coherent team. That’s willing to play through any game no matter what and learn from their experiences.
AK(very smurfy),https://www.op.gg/summoners/na/Always%20Roaming-888,Top,Support,support is higher ranked but mainly play top. Will play what ever though,"Talon or bruisers, Milio / Ali",Emerald 2,Plat 3,I like to play very aggressively and push for pressure on the map. Enjoy fighting for objectives and would like to improve my team fighting by playing in a group setting
TheFather,https://www.op.gg/multisearch/na?summoners=VladTheImpaler%23succc,Jungle,Mid,Yes,"Vlad, amumu, noc",Gold 3,Bronze 3,Think it depends on the game but jg im always looking for ganks and farming. Mid I play vlad/galio/viktor and try to scale for late game. Not very specific but i dont feel i have one play style really. And im just looking for people that want to have fun but win. 
shindinberg,https://www.op.gg/summoners/na/Caraphernelia-Bread,Top,Mid,"yea if im on certain champs, if not then id play a little lower","Darius, Twitch, Zed",Gold 1,Silver 4,i am simultaneously a very all in can 1v9 player but i also will play around my team if i know they're better than me
dylan2102,https://www.op.gg/summoners/na/dylan-6983,ADC,Jungle,Somewhat. I play ADC in ranked solo/duo and I Jungle in ranked flex,"Aphelios, Jihn, Caitlyn",Emerald 4,Plat 4,"I can play both aggressive and passive, but I tend to play more passive in solo que so that I can pretty confident go into mid/late game even or ahead just based off CS or macro. I also tend to play weakside ADC, so I would say I can comfortably play safe alone. I think a captain should be someone who can manage to shot call but also be able to keep team morale high even when a game seems lost or tough to play. I believe teammates should be there to support each other. The worst thing a teammate can do is be afk farming mid while we are fighting at an objective. Teammates, including myself, should be okay with sacrificing lane, cs, prio, etc., for the greater good of the team and game. "
recoveringschizo,https://www.op.gg/summoners/na/evilpancakekitty-meow,Support,Jungle,yes,rakan naut leona elise milio,Emerald 1,Gold 3,im here to win n chill
litsoth,https://www.op.gg/summoners/na/lilsoth-NA1,Jungle,Jungle,all i play is jg,kayn ammu vi ww ,Silver 3,Bronze 3,if I have a good team ill play around them and do well if the team comp is good then ill do good i may be low elo but i do well playing with high elo people
okhi9411,https://www.op.gg/summoners/na/majesticmonkey27-4911,Mid,ADC,"I played ADC main in solo queue but changed to mid to be better at carrying. I am probably more consistent at ADC with a good support, but go even more often as mid laner.","Jhin, ahri, sylas ",Bronze 3,Bronze 3,I play safe during landing phase waiting for oppoonents to make mistake under tower and try to snowball. I look for teammates who won’t be mad even if I’m doing poorly.
milkman,https://www.op.gg/summoners/na/Luigi1707-NA1,Jungle,Support,Yes,"Fiddle, Sejuani, Milio",Bronze 1,Bronze 2,I focus on objective timers and on my pathing/roams. find the biggest inta on the enemy team and punish them. I'm not a fan of hyper aggressive coin flip players.
Domoo,https://www.op.gg/summoners/na/Domoo-13721,Support,Top,I've play support more in a higher elo then Top - only play top if im on tank duty. ,"Bard, Zil, Rakan",Gold 3,Gold 4,flexible support - trying to adapt to any playstyle but mostly roaming support. 
murphyk,,Mid,Support,yes,"Syndra, Veigar, Ahri",Gold 4,Silver 4,I play safe :) Im from EU but play NA for and only with daddy encry
TheClassicTwix,,Mid,Support,Yes and have 4 account to plat 4 and one gold 4,"Varus, Taliyah, andvi",Emerald 4,Plat 4,Roams and objective clearing
